trunk-recorder-configs,RFSS,Site Dec,Site Hex,Site NAC,Description,County Name,Lat,Lon,Range,Frequencies,,,,,,,,,,,,
| Mississippi | Itinerant | MSWIN Mississippi Wireless Integrated Network | [SOW 1-98](/configs/Mississippi/counties/ITINERANT/SOW_1-98.MSWIN.1-098.P25.json) |,1,098,62,,SOW 1-98,Itinerant,32.7320803,-89.5100705,190,770.46875,774.09375,774.343750c,774.593750c,774.843750c,,,,,,,,
| Mississippi | Itinerant | MSWIN Mississippi Wireless Integrated Network | [SOW 2-99](/configs/Mississippi/counties/ITINERANT/SOW_2-99.MSWIN.2-099.P25.json) |,2,099,63,,SOW 2-99,Itinerant,32.7320803,-89.5100705,190,770.718750c,770.968750c,770.21875,770.468750c,,,,,,,,,
| Mississippi | Itinerant | MSWIN Mississippi Wireless Integrated Network | [SOW 2-100](/configs/Mississippi/counties/ITINERANT/SOW_2-100.MSWIN.2-100.P25.json) |,2,100,64,,SOW 2-100,Itinerant,32.7320803,-89.5100705,190,773.09375,773.343750c,773.593750c,773.843750c,,,,,,,,,
| Mississippi | Jackson | MSWIN Mississippi Wireless Integrated Network | [Vancleave](/configs/Mississippi/counties/JACKSON/Vancleave.MSWIN.1-018.P25.json) |,1,018,12,,Vancleave,Jackson,30.605444,-88.646861,16,769.16875,769.41875,769.66875,769.91875,770.168750c,770.418750c,770.668750c,770.918750c,,,,,
| Mississippi | Jackson | MSWIN Mississippi Wireless Integrated Network | [Fountainbleau ](/configs/Mississippi/counties/JACKSON/Fountainbleau_.MSWIN.1-044.P25.json) |,1,044,2C,,Fountainbleau ,Jackson,30.39771,-88.722827,16,774.793750c,774.543750c,774.29375,774.04375,769.95625,769.70625,769.45625,,,,,,
| Mississippi | Jasper | MSWIN Mississippi Wireless Integrated Network | [Vossburg](/configs/Mississippi/counties/JASPER/Vossburg.MSWIN.2-032.P25.json) |,2,032,20,2A1,Vossburg,Jasper,31.94294,-88.95644,16,772.18125,772.53125,773.031250c,773.281250c,773.531250c,773.781250c,,,,,,,
| Mississippi | Jasper | MSWIN Mississippi Wireless Integrated Network | [Rose Hill](/configs/Mississippi/counties/JASPER/Rose_Hill.MSWIN.2-035.P25.json) |,2,035,23,2A4,Rose Hill,Jasper,32.13721,-89.0929,16,770.156250c,770.406250c,770.656250c,770.906250c,774.68125,,,,,,,,
| Mississippi | Jefferson | MSWIN Mississippi Wireless Integrated Network | [Union Church](/configs/Mississippi/counties/JEFFERSON/Union_Church.MSWIN.1-036.P25.json) |,1,036,24,2A0,Union Church,Jefferson,31.692864,-90.870028,14,769.80625,770.20625,770.456250c,770.706250c,770.956250c,,,,,,,,
| Mississippi | Jefferson | MSWIN Mississippi Wireless Integrated Network | [Fayette](/configs/Mississippi/counties/JEFFERSON/Fayette.MSWIN.1-037.P25.json) |,1,037,25,2A2,Fayette,Jefferson,31.665954,-91.124482,10,770.16875,770.418750c,770.668750c,770.918750c,773.95625,,,,,,,,
| Mississippi | Jefferson | MSWIN Mississippi Wireless Integrated Network | [Jefferson North](/configs/Mississippi/counties/JEFFERSON/Jefferson_North.MSWIN.1-043.P25.json) |,1,043,2B,2A0,Jefferson North,Jefferson,31.850861,-91.146096,12,769.19375,769.443750c,769.693750c,769.943750c,773.38125,,,,,,,,
| Mississippi | Jones | MSWIN Mississippi Wireless Integrated Network | [Ellisville SE](/configs/Mississippi/counties/JONES/Ellisville_SE.MSWIN.1-010.P25.json) |,1,010,A,,Ellisville SE,Jones,31.504344,-89.120161,16,774.63125,774.90625,770.19375,770.443750c,770.693750c,770.943750c,,,,,,,
| Mississippi | Jones | MSWIN Mississippi Wireless Integrated Network | [Jones County (800 MHz)](/configs/Mississippi/counties/JONES/Jones_County_(800_MHz).MSWIN.1-046.P25.json) |,1,046,2E,,Jones County (800 MHz),Jones,31.74572,-89.10589,18,854.2625,854.9125,855.9625,856.962500c,857.462500c,857.762500c,858.437500c,,,,,,
| Mississippi | Kemper | MSWIN Mississippi Wireless Integrated Network | [Dekalb South](/configs/Mississippi/counties/KEMPER/Dekalb_South.MSWIN.2-046.P25.json) |,2,046,2E,2A7,Dekalb South,Kemper,32.72933,-88.668,16,770.193750c,770.443750c,770.693750c,770.943750c,774.65625,,,,,,,,
| Mississippi | Kemper | MSWIN Mississippi Wireless Integrated Network | [Shuqualak](/configs/Mississippi/counties/KEMPER/Shuqualak.MSWIN.2-047.P25.json) |,2,047,2F,,Shuqualak,Kemper,32.92222,-88.64317,16,771.90625,773.056250c,773.306250c,773.556250c,773.806250c,,,,,,,,
| Mississippi | Lafayette | MSWIN Mississippi Wireless Integrated Network | [MDOT Lafayette](/configs/Mississippi/counties/LAFAYETTE/MDOT_Lafayette.MSWIN.3-019.P25.json) |,3,019,13,,MDOT Lafayette,Lafayette,34.236,-89.37931,16,770.78125,774.05625,774.306250c,774.556250c,774.806250c,,,,,,,,
| Mississippi | Lafayette | MSWIN Mississippi Wireless Integrated Network | [Lowe Mountain](/configs/Mississippi/counties/LAFAYETTE/Lowe_Mountain.MSWIN.3-020.P25.json) |,3,020,14,,Lowe Mountain,Lafayette,34.33853,-89.65019,16,769.21875,769.468750c,769.718750c,769.968750c,771.88125,,,,,,,,
